Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-24,2019,1,24,,7.3,,4.8,,6.1,,11.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-25,2019,1,25,,7.7,,3.8,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-26,2019,1,26,,7.9,,4.1,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-27,2019,1,27,,7.5,,0.8,,4.2,,13.8,,0.0,,0.6,,0.0,,0.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-28,2019,1,28,,7.2,,-1.6,,2.8,,15.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-29,2019,1,29,,7.5,,-3.0,,2.3,,15.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-30,2019,1,30,,6.2,,-0.7,,2.8,,15.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-31,2019,1,31,,8.5,,3.5,,6.0,,12.0,,0.0,,1.6,,0.0,,1.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-01,2019,2,1,,8.5,,5.5,,7.0,,11.0,,0.0,,20.8,,0.0,,20.8,,,,8.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-02,2019,2,2,,7.4,,2.4,,4.9,,13.1,,0.0,,0.0,,0.0,,0.0,,,,29.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-03,2019,2,3,,4.2,,-4.0,,0.1,,17.9,,0.0,,0.2,,0.2,,0.4,,0.0,T,11.0,,50.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-04,2019,2,4,,0.7,,-6.2,,-2.8,,20.8,,0.0,,0.0,,1.4,,0.6,,1.0,,32.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-05,2019,2,5,,0.5,,-8.2,,-3.9,,21.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-06,2019,2,6,,1.6,,-7.3,,-2.9,,20.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-07,2019,2,7,,2.0,,-5.9,,-2.0,,20.0,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-08,2019,2,8,,1.4,,-3.1,,-0.9,,18.9,,0.0,,0.0,,0.2,,0.2,,,,5.0,,41.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-09,2019,2,9,,4.1,,-4.8,,-0.4,,18.4,,0.0,,0.0,,0.0,,0.0,,,,4.0,,46.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-10,2019,2,10,,-1.5,,-8.8,,-5.2,,23.2,,0.0,,0.0,,10.0,,4.8,,3.0,E,10.0,,48.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-11,2019,2,11,,-1.4,,-6.9,,-4.2,,22.2,,0.0,,0.0,,5.6,,5.6,,9.0,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-12,2019,2,12,,-0.9,,-3.2,,-2.1,,20.1,,0.0,,0.0,,7.4,,6.8,,14.0,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-13,2019,2,13,,1.6,,-4.1,,-1.3,,19.3,,0.0,,0.0,,2.4,,2.4,,20.0,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-14,2019,2,14,,2.3,,-8.5,,-3.1,,21.1,,0.0,,0.0,,4.0,,6.2,,10.0,E,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-15,2019,2,15,,3.5,,1.1,,2.3,,15.7,,0.0,,13.4,,0.0,T,13.4,,9.0,,8.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-16,2019,2,16,,5.4,,-0.6,,2.4,,15.6,,0.0,,0.2,,0.0,,0.2,,5.0,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-17,2019,2,17,,6.3,,-0.8,,2.8,,15.2,,0.0,,0.0,,0.0,,0.0,,4.0,,29.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-18,2019,2,18,,3.7,,-1.9,,0.9,,17.1,,0.0,,0.0,,0.0,,0.0,,1.0,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-19,2019,2,19,,2.8,,0.4,,1.6,,16.4,,0.0,,2.0,,0.0,T,5.2,,1.0,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-20,2019,2,20,,6.1,,-0.2,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,,,29.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-21,2019,2,21,,6.3,,-3.6,,1.4,,16.6,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-22,2019,2,22,,5.9,,0.9,,3.4,,14.6,,0.0,,5.0,,1.0,,6.6,,,,25.0,,48.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-23,2019,2,23,,6.8,,1.1,,4.0,,14.0,,0.0,,1.8,,0.0,T,1.8,,,,8.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-24,2019,2,24,,6.7,,-1.6,,2.6,,15.4,,0.0,,0.0,,0.0,,0.0,,,,29.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-25,2019,2,25,,5.2,,-4.7,,0.3,,17.7,,0.0,,0.0,,0.0,,0.0,,,,9.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-26,2019,2,26,,6.0,,-6.5,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,,,7.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-27,2019,2,27,,5.2,,-4.1,,0.6,,17.4,,0.0,,0.0,T,0.0,,0.0,T,,,9.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-02-28,2019,2,28,,7.1,,-1.0,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,,,21.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-01,2019,3,1,,6.3,,-4.5,,0.9,,17.1,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-02,2019,3,2,,6.9,,-4.6,,1.2,,16.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-03,2019,3,3,,6.0,,-0.9,,2.6,,15.4,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-04,2019,3,4,,5.4,,-4.4,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-05,2019,3,5,,8.0,,-4.3,,1.9,,16.1,,0.0,,0.0,,0.0,,0.0,,,,29.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-06,2019,3,6,,4.5,,-4.7,,-0.1,,18.1,,0.0,,1.2,,0.0,T,1.2,,,,27.0,,37.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-07,2019,3,7,,5.0,,0.0,,2.5,,15.5,,0.0,,1.2,,0.0,T,1.2,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-08,2019,3,8,,6.2,,-0.1,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-09,2019,3,9,,7.0,,-4.3,,1.4,,16.6,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-10,2019,3,10,,7.7,,-3.3,,2.2,,15.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-11,2019,3,11,,7.2,,2.1,,4.7,,13.3,,0.0,,13.2,,0.0,T,13.2,,,,7.0,,42.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-12,2019,3,12,,8.6,,1.6,,5.1,,12.9,,0.0,,3.8,,0.0,T,3.8,,,,29.0,,42.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-13,2019,3,13,,10.2,,2.4,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-14,2019,3,14,,9.9,,3.4,,6.7,,11.3,,0.0,,3.0,,0.0,,3.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-15,2019,3,15,,12.5,,3.8,,8.2,,9.8,,0.0,,0.6,,0.0,,0.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-16,2019,3,16,,11.0,,2.3,,6.7,,11.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-17,2019,3,17,,11.9,,1.4,,6.7,,11.3,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-18,2019,3,18,,14.0,,1.2,,7.6,,10.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-19,2019,3,19,,15.4,,2.9,,9.2,,8.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-20,2019,3,20,,13.7,,1.8,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,,,30.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-21,2019,3,21,,16.7,,3.1,,9.9,,8.1,,0.0,,0.0,,0.0,,0.0,,,,11.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-22,2019,3,22,,17.3,,8.4,,12.9,,5.1,,0.0,,0.8,,0.0,,0.8,,,,14.0,,42.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-23,2019,3,23,,13.4,,5.1,,9.3,,8.7,,0.0,,0.0,T,0.0,,0.0,T,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-24,2019,3,24,,10.6,,2.8,,6.7,,11.3,,0.0,,0.0,T,0.0,,0.0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-25,2019,3,25,,11.4,,3.9,,7.7,,10.3,,0.0,,5.0,,0.0,,5.0,,,,28.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-26,2019,3,26,,13.0,,6.9,,10.0,,8.0,,0.0,,2.4,,0.0,,2.4,,,,16.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-27,2019,3,27,,12.3,,0.1,,6.2,,11.8,,0.0,,0.0,,0.0,,0.0,,,,29.0,,41.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-28,2019,3,28,,14.3,,6.2,,10.3,,7.7,,0.0,,0.0,,0.0,,0.0,,,,18.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-29,2019,3,29,,14.2,,3.5,,8.9,,9.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-30,2019,3,30,,13.7,,4.0,,8.9,,9.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-03-31,2019,3,31,,13.9,,3.7,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,,,21.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-01,2019,4,1,,14.9,,3.2,,9.1,,8.9,,0.0,,0.0,,0.0,,0.0,,,,29.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-02,2019,4,2,,15.8,,2.7,,9.3,,8.7,,0.0,,0.0,,0.0,,0.0,,,,28.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-03,2019,4,3,,14.6,,9.1,,11.9,,6.1,,0.0,,19.6,,0.0,,19.6,,,,19.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-04,2019,4,4,,13.7,,8.0,,10.9,,7.1,,0.0,,0.4,,0.0,,0.4,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-05,2019,4,5,,14.6,,7.9,,11.3,,6.7,,0.0,,5.6,,0.0,,5.6,,,,20.0,,50.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-06,2019,4,6,,11.8,,7.1,,9.5,,8.5,,0.0,,4.8,,0.0,,4.8,,,,12.0,,61.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-07,2019,4,7,,14.1,,6.8,,10.5,,7.5,,0.0,,4.2,,0.0,,4.2,,,,17.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-08,2019,4,8,,11.4,,4.2,,7.8,,10.2,,0.0,,3.0,,0.0,,3.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-09,2019,4,9,,13.2,,7.3,,10.3,,7.7,,0.0,,0.6,,0.0,,0.6,,,,29.0,,41.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-10,2019,4,10,,11.8,,6.6,,9.2,,8.8,,0.0,,6.2,,0.0,,6.2,,,,17.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-11,2019,4,11,,9.1,,6.5,,7.8,,10.2,,0.0,,13.0,,0.0,,13.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-12,2019,4,12,,11.4,,3.6,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-13,2019,4,13,,11.1,,6.9,,9.0,,9.0,,0.0,,10.0,,0.0,,10.0,,,,16.0,,59.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-14,2019,4,14,,10.8,,3.6,,7.2,,10.8,,0.0,,0.0,T,0.0,,0.0,T,,,25.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-15,2019,4,15,,10.9,,3.6,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-16,2019,4,16,,12.3,,1.6,,7.0,,11.0,,0.0,,0.4,,0.0,,0.4,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-17,2019,4,17,,15.4,,7.5,,11.5,,6.5,,0.0,,1.6,,0.0,,1.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-18,2019,4,18,,11.6,,9.6,,10.6,,7.4,,0.0,,27.0,,0.0,,27.0,,,,9.0,,37.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-19,2019,4,19,,13.6,,9.6,,11.6,,6.4,,0.0,,1.6,,0.0,,1.6,,,,28.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-20,2019,4,20,,13.6,,7.8,,10.7,,7.3,,0.0,,0.0,,0.0,,0.0,,,,29.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-21,2019,4,21,,14.9,,6.2,,10.6,,7.4,,0.0,,0.0,,0.0,,0.0,,,,13.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-22,2019,4,22,,11.3,,8.7,,10.0,,8.0,,0.0,,12.8,,0.0,,12.8,,,,7.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-23,2019,4,23,,14.3,,9.4,,11.9,,6.1,,0.0,,0.0,T,0.0,,0.0,T,,,27.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-24,2019,4,24,,12.7,,6.1,,9.4,,8.6,,0.0,,0.0,,0.0,,0.0,,,,30.0,,54.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-25,2019,4,25,,12.7,,1.1,,6.9,,11.1,,0.0,,0.0,,0.0,,0.0,,,,30.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-26,2019,4,26,,13.1,,7.7,,10.4,,7.6,,0.0,,0.0,,0.0,,0.0,,,,29.0,,42.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-27,2019,4,27,,12.4,,6.5,,9.5,,8.5,,0.0,,0.0,,0.0,,0.0,,,,28.0,,78.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-28,2019,4,28,,14.6,,1.9,,8.3,,9.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-29,2019,4,29,,15.9,,2.2,,9.1,,8.9,,0.0,,0.0,,0.0,,0.0,,,,28.0,,37.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-04-30,2019,4,30,,15.4,,4.0,,9.7,,8.3,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-01,2019,5,1,,16.9,,7.6,,12.3,,5.7,,0.0,,0.0,,0.0,,0.0,,,,21.0,,37.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-02,2019,5,2,,16.4,,7.8,,12.1,,5.9,,0.0,,0.0,,0.0,,0.0,,,,19.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-03,2019,5,3,,14.8,,9.4,,12.1,,5.9,,0.0,,0.0,,0.0,,0.0,,,,19.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-04,2019,5,4,,16.4,,5.3,,10.9,,7.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-05,2019,5,5,,16.4,,6.2,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,,,29.0,,46.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-06,2019,5,6,,17.4,,8.6,,13.0,,5.0,,0.0,,0.0,,0.0,,0.0,,,,30.0,,50.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-07,2019,5,7,,17.1,,10.7,,13.9,,4.1,,0.0,,0.0,,0.0,,0.0,,,,30.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-08,2019,5,8,,17.5,,11.0,,14.3,,3.7,,0.0,,0.0,,0.0,,0.0,,,,29.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-09,2019,5,9,,21.4,,9.9,,15.7,,2.3,,0.0,,0.0,,0.0,,0.0,,,,30.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-10,2019,5,10,,22.9,,9.7,,16.3,,1.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-11,2019,5,11,,21.4,,10.8,,16.1,,1.9,,0.0,,0.0,,0.0,,0.0,,,,19.0,,32.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-12,2019,5,12,,16.6,,11.2,,13.9,,4.1,,0.0,,0.0,,0.0,,0.0,,,,19.0,,37.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-13,2019,5,13,,16.6,,8.4,,12.5,,5.5,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-14,2019,5,14,,14.8,,10.8,,12.8,,5.2,,0.0,,9.4,,0.0,,9.4,,,,14.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-15,2019,5,15,,17.6,,10.6,,14.1,,3.9,,0.0,,1.6,,0.0,,1.6,,,,29.0,,46.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-16,2019,5,16,,17.6,,11.7,,14.7,,3.3,,0.0,,0.2,,0.0,,0.2,,,,30.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-17,2019,5,17,,17.0,,11.1,,14.1,,3.9,,0.0,,0.0,,0.0,,0.0,,,,20.0,,42.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-18,2019,5,18,,18.2,,11.4,,14.8,,3.2,,0.0,,0.0,,0.0,,0.0,,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-19,2019,5,19,,21.1,,9.3,,15.2,,2.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-20,2019,5,20,,14.5,,10.9,,12.7,,5.3,,0.0,,7.0,,0.0,,7.0,,,,10.0,,35.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-21,2019,5,21,,18.4,,10.0,,14.2,,3.8,,0.0,,1.6,,0.0,,1.6,,,,30.0,,39.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-22,2019,5,22,,20.2,,8.7,,14.5,,3.5,,0.0,,0.0,,0.0,,0.0,,,,29.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-23,2019,5,23,,19.9,,9.4,,14.7,,3.3,,0.0,,0.0,T,0.0,,0.0,T,,,29.0,,46.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-24,2019,5,24,,16.4,,12.0,,14.2,,3.8,,0.0,,2.0,,0.0,,2.0,,,,27.0,,48.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-25,2019,5,25,,15.1,,10.2,,12.7,,5.3,,0.0,,8.6,,0.0,,8.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-26,2019,5,26,,20.6,,7.6,,14.1,,3.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-05-27,2019,5,27,,23.9,,11.8,,17.9,,0.1,,0.0,,0.0,,0.0,,0.0,,,,17.0,,35.0,
